station_id,region,station_name,address,latitude,longitude,phone,source_date
nfa-0936,부산,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),35.2440955,129.0928131,051-760-4780,2024-09-01
nfa-0856,부산,기장소방서,부산광역시 기장군 정관면 용수로 7,35.3249052,129.1799668,051-760-5100,2024-09-01
nfa-0786,부산,남부소방서,부산광역시 수영구 광일로 64(광안동),35.1631655,129.1070458,051-760-4880,2024-09-01
nfa-0790,부산,동래소방서,부산광역시 연제구 고분로 216(연산동),35.1843589,129.1052426,051-760-4380,2024-09-01
nfa-0895,부산,부산진소방서,부산광역시 동구 범일로 115(범일동),35.1404454,129.0590339,051-760-4280,2024-09-01
nfa-0794,부산,북부소방서,부산광역시 사상구 삼덕로 17(삼락동),35.174463,128.978749,051-760-4480,2024-09-01
nfa-0935,부산,사하소방서,부산광역시 사하구 장평로 270(신평동),35.090107,128.9733717,051-760-4500,2024-09-01
nfa-0795,부산,중부소방서,부산광역시 중구 중앙대로 110(중앙동4가),35.1072555,129.0369409,051-760-4180,2024-09-01
nfa-0854,부산,항만소방서,부산광역시 영도구 해양로 297(동삼동),35.0817621,129.0767847,051-760-4980,2024-09-01
nfa-0933,부산,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),35.1593466,129.1436628,051-760-4600,2024-09-01
nfa-0855,대구,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,35.8554417,128.4674366,053-601-4600,2024-09-01
nfa-0859,대구,달서소방서,대구광역시 달서구 학산로 75,35.831088,128.5347565,053-607-2216,2024-09-01
nfa-0986,대구,달성소방서,대구광역시 달성군 현풍면 비슬로 480,35.6826279,128.4469746,053-670-5200,2024-09-01
nfa-0987,대구,동부소방서,대구광역시 동구 동대구로 507,35.8760907,128.6251739,053-601-4317,2024-09-01
nfa-0857,대구,북부소방서,대구광역시 북구 칠성남로 112,35.8779748,128.5922971,053-350-4700,2024-09-01
nfa-0853,대구,서부소방서,대구광역시 서구 달서천로 186,35.8818837,128.5544996,053-320-4499,2024-09-01
nfa-0934,대구,수성소방서,대구광역시 수성구 청호로 87,35.8255278,128.6443835,053-780-5213,2024-09-01
nfa-0932,대구,중부소방서,대구광역시 중구 달구벌대로 1926,35.862557,128.575188,053-601-4517,2024-09-01
nfa-0970,인천,강화소방서,인천시 강화군 강화읍 남문로 23번길 11,37.7396808,126.4874741,032-930-5811,2024-09-01
nfa-0971,인천,계양소방서,인천시 계양구 장제로 774(계산동),37.5370098,126.734921,032-650-5611,2024-09-01
nfa-0972,인천,공단소방서,인천시 남동구 남동서로 208(고잔동),37.4081309,126.6930221,032-723-5512,2024-09-01
nfa-0968,인천,공항소방서,인천시 중구 공항서로 512번길 464(운서동),37.4858663,126.4145851,032-727-6110,2024-09-01
nfa-0851,인천,남동소방서,인천시 부평구 부평대로 324(갈산동),37.5202441,126.7221321,032-870-5210,2024-09-01
nfa-0967,인천,남부소방서,인천시 남구 인하로 190(주안동),37.4484875,126.6691548,032-870-3216,2024-09-01
nfa-0930,인천,부평소방서,인천시 남동구 인주대로 714(구월동),37.4489466,126.7164002,032-723-5310,2024-09-01
nfa-0982,인천,서부소방서,인천시 서구 서곶로 292(심곡동),37.54316,126.6773037,032-723-5440,2024-09-01
nfa-0931,인천,송도소방서,인천시 연수구 송도동 208-1,37.3673277,126.6516261,032-810-6609,2024-09-01
nfa-0849,인천,중부소방서,인천시 중구 인중로 204(항동),37.4701263,126.6222875,032-870-5115,2024-09-01
nfa-0940,광주,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),35.1859848,126.7964868,062-613-8813,2024-09-01
nfa-0944,광주,남부소방서,광주광역시 남구 송암로58번길 13(송하동),35.1104487,126.878475,062-613-8613,2024-09-01
nfa-0969,광주,동부소방서,광주광역시 동구 제봉로 210(대인동),35.1545794,126.9147654,062-613-8413,2024-09-01
nfa-0973,광주,북부소방서,광주광역시 북구 서하로 290(오치동),35.1867196,126.9120927,062-613-8713,2024-09-01
nfa-0975,광주,서부소방서,광주광역시 서구 화운로 197(화정동),35.1563719,126.8765703,062-613-8513,2024-09-01
nfa-0984,대전,대덕소방서,대전시 대덕구 계족로 682,36.37251,127.42893,042-270-1574,2024-09-01
nfa-0927,대전,동부소방서,대전시 동구 계족로 300,36.34137,127.43759,042-270-1313,2024-09-01
nfa-0959,대전,둔산소방서,대전시 서구 갈마중로 15,36.34789,127.37111,042-270-1474,2024-09-01
nfa-0997,대전,서부소방서,대전시 서구 복수서로 67,36.30978,127.37232,042-270-1774,2024-09-01
nfa-0954,대전,유성소방서,대전시 유성구 대덕대로 516,36.37896,127.37904,042-270-1613,2024-09-01
nfa-0958,울산,남부소방서,울산광역시 남구 삼산중로 149,35.5471664,129.3354638,052-210-4720,2024-09-01
nfa-0951,울산,동부소방서,울산광역시 동구 꽃바위2가길 9,35.4823307,129.4125804,052-279-6320,2024-09-01
nfa-0979,울산,온산소방서,울산광역시 울주군 온산읍 덕신로 232,35.4332554,129.3066022,052-241-6620,2024-09-01
nfa-0980,울산,중부소방서,울산광역시 중구 종가로 205,35.5629508,129.2993104,052-210-4420,2024-09-01
nfa-0947,세종,세종소방서,세종특별자치시 어진동 610,36.5041461,127.2717542,044-300-8454,2024-09-01
nfa-0981,세종,조치원소방서,세종특별자치시 조치원읍 세종로 2439,36.6047949,127.2888963,044-300-8119,2024-09-01
nfa-0841,경기,가평소방서,경기도 가평군 가평읍 가화로36,37.8232947,127.5165809,031-580-0212,2024-09-01
nfa-0941,경기,고양소방서,경기도 고양시 덕양구 고양대로 1342,37.6550568,126.8331956,031-931-0212,2024-09-01
nfa-0993,경기,과천소방서,경기도 과천시 통영로 12 과천소방서,37.4285792,126.990472,02-331-4212,2024-09-01
nfa-0962,경기,광명소방서,경기도 광명시 금하로 472,37.4486381,126.8851744,02-2610-3213,2024-09-01
nfa-0977,경기,광주소방서,경기도 광주시 초월읍 무들로 112,37.385597,127.2995112,031-799-2212,2024-09-01
nfa-0946,경기,구리소방서,경기도 구리시 아차산로 487번길 46,37.5982996,127.1278435,031-570-6214,2024-09-01
nfa-0999,경기,군포소방서,경기도 군포시 고산로 429 군포소방서,37.3525963,126.9271193,031-479-8212,2024-09-01
nfa-0949,경기,김포소방서,경기도 김포시 감암로 111,37.6415816,126.7085344,031-980-4212,2024-09-01
nfa-0960,경기,남양주소방서,경기도 남양주시 평내로 25,37.6434158,127.2322211,031-590-0212,2024-09-01
nfa-0846,경기,동두천소방서,경기도 동두천시 지행로 6(지행동),37.8922941,127.0476176,031-830-5504,2024-09-01
nfa-0994,경기,부천소방서,경기도 부천시 신흥로 115,37.4933057,126.7779585,031-650-4212,2024-09-01
nfa-0928,경기,분당소방서,경기도 성남시 분당구 양현로 14,37.3860453,127.1194828,031-8018-3212,2024-09-01
nfa-0957,경기,성남소방서,경기도 성남시 수정구 제일로 111,37.4365974,127.1335475,031-720-0212,2024-09-01
nfa-0998,경기,송탄소방서,경기도 평택시 경기대로 1627,37.089811,127.0621453,031-685-8212,2024-09-01
nfa-0926,경기,수원소방서,경기도 수원시 장안구 정자천로 189번길 12,37.2971847,126.9959707,031-8012-9212,2024-09-01
nfa-0922,경기,시흥소방서,경기도 시흥시 정왕신길로 206 시흥소방서,37.3494737,126.73965,031-310-0212,2024-09-01
nfa-0965,경기,안산소방서,경기도 안산시 단원구 화랑로 407,37.3213207,126.8332049,031-470-7212,2024-09-01
nfa-0963,경기,안성소방서,경기도 안성시 미양로 855,37.0004851,127.2560104,031-678-4212,2024-09-01
nfa-0978,경기,안양소방서,경기도 안양시 동안구 동안로 82,37.386585,126.9547681,031-470-0212,2024-09-01
nfa-0844,경기,양주소방서,경기도 양주시 백석읍 꿈나무로 156,37.795763,126.9893738,031-849-8435,2024-09-01
nfa-0966,경기,양평소방서,경기도 양평군 양평읍 경강로 2047,37.5003332,127.5073421,031-770-0212,2024-09-01
nfa-0956,경기,여주소방서,경기도 여주시 우암로 110,37.2916731,127.6257777,031-887-7212,2024-09-01
nfa-0843,경기,연천소방서,경기도 연천군 전곡읍 평화로 892,38.0482463,127.0683901,031-830-0212,2024-09-01
nfa-0925,경기,오산소방서,경기도 오산시 청학로 67,37.1550868,127.0646135,031-8059-7212,2024-09-01
nfa-0964,경기,용인소방서,경기도 용인시 처인구 명지로 75,37.229205,127.1881934,031-8021-0212,2024-09-01
nfa-0953,경기,의왕소방서,경기도 의왕시 오봉로 9,37.3441651,126.9747136,031-596-0212,2024-09-01
nfa-0976,경기,의정부소방서,경기도 의정부시 의정로 48,37.7370748,127.035361,031-849-7111,2024-09-01
nfa-0952,경기,이천소방서,경기도 이천시 경충대로 2739,37.2820952,127.4315605,031-645-5212,2024-09-01
nfa-0942,경기,일산소방서,경기도 고양시 일산동구 중앙로 1325,37.6630508,126.7696353,031-930-0212,2024-09-01
nfa-0945,경기,파주소방서,경기도 파주시 파주읍 통일로1564,37.8473462,126.7894521,031-956-9212,2024-09-01
nfa-0921,경기,평택소방서,경기도 평택시 중앙로 273,36.9904771,127.1128559,031-8053-6212,2024-09-01
nfa-0950,경기,포천소방서,경기도 포천시 군내면 호국로 1538,37.8913983,127.2025465,031-538-5212,2024-09-01
nfa-0995,경기,하남소방서,경기도 하남시 대청로 76,37.5398975,127.2204324,031-799-4212,2024-09-01
nfa-0955,경기,화성소방서,경기도 화성시 향남읍 향남로 399,37.1305973,126.9204924,031-8012-6212,2024-09-01
nfa-0834,강원,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),37.757339,128.8729128,033-643-3119,2024-09-01
nfa-0838,강원,고성소방서,강원도 고성군 간성읍 수성로 37-11,38.3769921,128.4738364,033-681-1119,2024-09-01
nfa-0818,강원,동해소방서,강원도 동해시 천곡로 120,37.5246394,129.1184909,033-533-2119,2024-09-01
nfa-0835,강원,삼척소방서,강원도 삼척시 봉황로 101,37.4468677,129.1707633,033-572-9119,2024-09-01
nfa-0820,강원,속초소방서,강원도 속초시 미시령로 3226,38.2036833,128.5601889,033-636-2119,2024-09-01
nfa-0860,강원,양양소방서,강원도 양양군 양양읍 남대천로 33,38.0674264,128.6224396,033-671-0119,2024-09-01
nfa-0833,강원,영월소방서,강원도 영월군 영월읍 영월로 1863,37.1853596,128.45845,033-373-1119,2024-09-01
nfa-0842,강원,원주소방서,강원도 원주시 남원로 487,37.328358,127.944363,033-763-4119,2024-09-01
nfa-0828,강원,인제소방서,강원도 인제군 인제읍 비봉로 44번길 71,38.0614106,128.168508,033-460-9211,2024-09-01
nfa-0836,강원,정선소방서,강원도 정선군 정선읍 녹송로 27,37.3797392,128.6718684,033-563-0119,2024-09-01
nfa-0832,강원,철원소방서,강원도 철원군 갈말읍 태봉로 1504,38.1855846,127.323525,033-452-7119,2024-09-01
nfa-0839,강원,춘천소방서,강원도 춘천시 후석로 446,37.889424,127.7433,033-241-0119,2024-09-01
nfa-0837,강원,태백소방서,강원도 태백시 태백로 1120,37.1585158,128.9893395,033-553-1119,2024-09-01
nfa-0823,강원,평창소방서,강원도 평창군 평창읍 살구실길 10,37.3782173,128.3892757,033-339-9118,2024-09-01
nfa-0829,강원,홍천소방서,강원도 홍천군 홍천읍 공작산로 99,37.6915636,127.9022656,033-432-3119,2024-09-01
nfa-0840,강원,횡성소방서,강원도 횡성군 횡성읍 문예로 157,37.4853506,127.9739835,033-343-0119,2024-09-01
nfa-0819,충북,괴산소방서,충북 괴산군 괴산읍 괴강로 69,36.8075933,127.8013959,043-760-0113,2024-09-01
nfa-0824,충북,단양소방서,충북 단양군 단양읍 별곡리 산28-4,36.9885565,128.3558747,043-422-0119,2024-09-01
nfa-0784,충북,보은소방서,충북 보은군 보은읍 남부로 4415,36.4769632,127.7221438,043-773-0113,2024-09-01
nfa-0876,충북,영동소방서,충북 영동군 영동읍 영동황간로 174,36.1656657,127.7890123,043-740-7013,2024-09-01
nfa-0825,충북,옥천소방서,충북 옥천군 옥천읍 중앙로 132,36.3079508,127.5742761,043-730-1813,2024-09-01
nfa-0821,충북,음성소방서,충북 음성군 금왕읍 응천서길 11,36.9896677,127.5952281,043-880-0113,2024-09-01
nfa-0996,충북,제천소방서,충청북도 제천시 신죽하로 164 제천소방서,37.16059,128.2128,043-641-7114,2024-09-01
nfa-0787,충북,증평소방서,충북 증평군 충청대로 1789,36.7878912,127.5838223,043-830-0113,2024-09-01
nfa-0826,충북,진천소방서,충북 진천군 진천읍 진광로 93,36.8728097,127.4410784,043-539-8113,2024-09-01
nfa-0783,충북,청주동부소방서,충북 청주시 상당구 영운로 61,36.6209601,127.494848,043-251-0114,2024-09-01
nfa-0919,충북,청주서부소방서,충청북도 청주시 흥덕구 가경로 143 청주서부소방서,36.62729,127.43695,043-249-9113,2024-09-01
nfa-1000,충북,충주소방서,충청북도 충주시 목행산단7로 9 충주소방서,37.0032917,127.9211,043-841-3115,2024-09-01
nfa-0868,충남,계룡소방서,충남 계룡시 두마면 사계로 46,36.268179,127.2649258,041-540-5212,2024-09-01
nfa-0804,충남,공주소방서,충남 공주시 봉황로 134,36.457935,127.121538,041-851-0211,2024-09-01
nfa-0913,충남,금산소방서,충남 금산군 금산읍 삼풍로 2,36.099909,127.4801011,041-750-1211,2024-09-01
nfa-0881,충남,논산소방서,충남 논산시 대학로 17,36.1782935,127.10039,041-730-0211,2024-09-01
nfa-0811,충남,당진소방서,충남 당진시 역천로 838,36.8860342,126.6177418,041-350-5211,2024-09-01
nfa-0797,충남,보령소방서,충남 보령시 대천로 122,36.3565891,126.6057898,041-930-0211,2024-09-01
nfa-0814,충남,부여소방서,충남 부여군 규암면 계백로 17,36.2749958,126.8822443,041-830-0211,2024-09-01
nfa-0872,충남,서산소방서,충남 서산시 호수공원14로 26-4,36.7733417,126.444925,041-689-0211,2024-09-01
nfa-0900,충남,서천소방서,충남 서천군 장항읍 장항로 37,36.0135196,126.6830247,041-955-0211,2024-09-01
nfa-0822,충남,아산소방서,충남 아산시 문화로 293,36.7867187,127.0163173,041-538-0211,2024-09-01
nfa-0879,충남,예산소방서,충남 예산군 오가면 오가중앙로 111,36.686551,126.801863,041-330-4211,2024-09-01
nfa-0867,충남,천안동남소방서,충남 천안시 동남구 천안대로 580,36.7998721,127.1653741,041-570-0211,2024-09-01
nfa-0880,충남,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단 2길 32번지,36.8625095,127.1160297,041-360-0212,2024-09-01
nfa-0885,충남,청양소방서,충남 청양군 청양읍 충절로 1187,36.451623,126.7924514,041-940-7212,2024-09-01
nfa-0782,충남,태안소방서,충남 태안군 태안읍 동백로 100,36.758023,126.2861164,041-671-0211,2024-09-01
nfa-0873,충남,홍성소방서,충남 홍성군 홍성읍 충절로 741,36.5851995,126.6957647,041-630-0212,2024-09-01
nfa-0807,전북,고창소방서,전라북도 고창군 고창읍 녹두로 1294,35.4328166,126.6878348,063-560-1251,2024-09-01
nfa-0858,전북,군산소방서,전라북도 군산시 번영로 308,35.9628605,126.7510992,063-450-0251,2024-09-01
nfa-0902,전북,김제소방서,전라북도 김제시 벽성로 278,35.7990078,126.8700945,063-540-4251,2024-09-01
nfa-0865,전북,남원소방서,전라북도 남원시 요천로 1965,35.436712,127.4168295,063-620-3751,2024-09-01
nfa-0877,전북,무진장소방서,전라북도 장수군 장계면 육십령로 136,35.7322571,127.589538,063-350-6251,2024-09-01
nfa-0883,전북,부안소방서,전라북도 부안군 행안면 변산로 86,35.729754,126.7119575,063-580-1251,2024-09-01
nfa-0878,전북,익산소방서,전라북도 익산시 무왕로 1338,35.9623102,127.0052279,063-839-3251,2024-09-01
nfa-0816,전북,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,35.8421216,127.1363781,063-250-4251,2024-09-01
nfa-0906,전북,전주완산소방서,전라북도 전주시 완산구 거마평로 73,35.7993101,127.1164687,063-220-4251,2024-09-01
nfa-0800,전북,정읍소방서,전라북도 정읍시 서부산업도로 507-3,35.588486,126.8594844,063-570-1251,2024-09-01
nfa-0916,전남,강진소방서,전남 강진군 군동면 중앙로 223,34.6428648,126.7805563,061-430-0900,2024-09-01
nfa-0961,전남,고흥소방서,전남 고흥군 풍양면 고흥로 1330,34.58155,127.2560125,061-840-0900,2024-09-01
nfa-0874,전남,광양소방서,전남 광양시 중마중앙로 109,34.9400659,127.6977236,061-798-0900,2024-09-01
nfa-0875,전남,나주소방서,전남 나주시 예향로 4201,35.027854,126.7098142,061-330-0900,2024-09-01
nfa-0869,전남,담양소방서,전남 담양군 담양읍 추성로 1232,35.3181032,126.9731342,061-380-0900,2024-09-01
nfa-0792,전남,목포소방서,전남 목포시 삼향천로 110,34.8098538,126.4305022,061-280-0900,2024-09-01
nfa-0923,전남,무안소방서,전라남도 무안군 무안읍 공항로 133,34.994596,126.4665645,061-450-0900,2024-09-01
nfa-0898,전남,보성소방서,전남 보성군 벌교읍 녹색로 5247,34.8384641,127.3154896,061-859-0900,2024-09-01
nfa-0813,전남,순천소방서,전남 순천시 서면 삼산로 281,34.9866763,127.503975,061-750-0900,2024-09-01
nfa-0870,전남,여수소방서,전남 여수시 망마로 20,34.76006,127.6651528,061-680-0900,2024-09-01
nfa-0882,전남,영광소방서,전남 영광군 영광읍 함영로 3508,35.262998,126.5090633,061-350-0900,2024-09-01
nfa-0808,전남,영암소방서,전남 영암군 삼호읍 나불로 192,34.76665,126.4392875,061-460-0900,2024-09-01
nfa-0896,전남,함평소방서,전남 함평군 대동면 학동로386,35.0605389,126.5389744,061-338-0900,2024-09-01
nfa-0866,전남,해남소방서,전남 해남군 해남읍 교육청길 82,34.5663365,126.607902,061-530-0900,2024-09-01
nfa-0806,전남,화순소방서,전남 화순군 화순읍 학포로 2750,35.050674,126.9713113,061-379-0900,2024-09-01
nfa-0815,경북,경산소방서,경북 경산시 김유신로 12,35.8385284,128.7696707,053-811-1119,2024-09-01
nfa-0862,경북,경주소방서,경북 경주시 알천남로 276,35.8441404,129.228325,054-778-0512,2024-09-01
nfa-0781,경북,고령소방서,경북 고령군 고령읍 벽화길 18,35.7240226,128.268698,054-954-4119,2024-09-01
nfa-0863,경북,구미소방서,경북 구미시 수출대로 112,36.110565,128.376463,054-461-1119,2024-09-01
nfa-0861,경북,김천소방서,경북 김천시 황산로 67,36.1169739,128.1380632,054-436-1119,2024-09-01
nfa-0803,경북,문경소방서,경북 문경시 중앙로 305,36.6103491,128.2097175,054-559-1813,2024-09-01
nfa-0817,경북,상주소방서,경북 상주시 상산로 322,36.4196428,128.159516,054-530-3714,2024-09-01
nfa-0894,경북,성주소방서,경북 성주군 성주읍 주산로 193,35.933968,128.304763,054-933-5119,2024-09-01
nfa-0796,경북,안동소방서,경북 안동시 육사로 301,36.5610479,128.7373187,054-855-8119,2024-09-01
nfa-0910,경북,영덕소방서,경북 영덕군 영덕읍 경동로 8401,36.4167177,129.3709949,054-730-1512,2024-09-01
nfa-0812,경북,영주소방서,경북 영주시 문수면 적서로 448번길 17,36.7919351,128.6331219,054-632-1190,2024-09-01
nfa-0917,경북,영천소방서,경북 영천시 호국로 187,35.9775633,128.9577514,054-336-8000,2024-09-01
nfa-0899,경북,울진소방서,경북 울진군 울진읍 울진북로 508,36.9935345,129.3945309,054-780-1312,2024-09-01
nfa-0798,경북,의성소방서,경북 의성군 봉양면 경북대로 4741,36.3100667,128.5989,054-830-7712,2024-09-01
nfa-0914,경북,청도소방서,경북 청도군 청도읍 중앙로 192-34,35.64829,128.7632769,054-370-8212,2024-09-01
nfa-0035,경북,칠곡소방서,경북 칠곡군 기산면 칠곡대로 1216,35.99581,128.388162,054-976-7001,2024-09-01
nfa-0864,경북,포항남부소방서,경북 포항시 남구 동해안로 5890,35.993357,129.4189413,054-284-4117,2024-09-01
nfa-0915,경북,포항북부소방서,경북 포항시 북구 중앙로 332,36.0424889,129.3661245,054-260-2130,2024-09-01
nfa-0905,경남,거제소방서,경남 거제시 진목로 1,34.8961117,128.6861685,055-689-9212,2024-09-01
nfa-0789,경남,거창소방서,경남 거창군 거창읍 거함대로 3324,35.6778157,127.923258,055-940-9212,2024-09-01
nfa-0911,경남,고성소방서,경남 고성군 고성읍 남해안대로 2670,34.9811871,128.3308053,055-670-9212,2024-09-01
nfa-0802,경남,김해동부소방서,경남 김해시 김해대로 2507,35.2285999,128.9011692,055-320-9212,2024-09-01
nfa-0939,경남,김해서부소방서,경남 김해시 장유로 341,35.1965616,128.8172804,055-344-9212,2024-09-01
nfa-0801,경남,남해소방서,경남 남해군 남해읍 스포츠로 81,34.8292456,127.8927337,055-860-9212,2024-09-01
nfa-0893,경남,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,35.1981576,128.574821,055-249-9212,2024-09-01
nfa-0890,경남,밀양소방서,경남 밀양시 밀양대로 1760,35.4829448,128.7533477,055-350-9212,2024-09-01
nfa-0809,경남,사천소방서,경남 사천시 남일로 29,34.9331486,128.0797505,055-830-9212,2024-09-01
nfa-0938,경남,산청소방서,경남 산청군 산청읍 물안실로 8,35.405618,127.900536,055-970-9212,2024-09-01
nfa-0901,경남,양산소방서,경남 양산시 물금읍 황산로 719,35.3343154,129.0105125,055-379-9212,2024-09-01
nfa-0937,경남,의령소방서,경남 의령군 의령읍 남산로 7-12,35.3184984,128.2671295,055-570-9212,2024-09-01
nfa-0889,경남,진주소방서,경남 진주시 동진로 249,35.1803367,128.1184029,055-760-9212,2024-09-01
nfa-0908,경남,창녕소방서,경남 창녕군 대지면 우포2로 1097,35.5504487,128.4791275,055-259-9212,2024-09-01
nfa-0912,경남,창원소방본부(진해소방서),경상남도 창원시 진해구 백구로 72,35.1509337,128.6585442,055-548-9212,2024-09-01
nfa-0891,경남,창원소방서,경상남도 창원시 의창구 상남로 165,35.2274727,128.6855886,055-211-9212,2024-09-01
nfa-0799,경남,통영소방서,경남 통영시 광도면 죽림4로 49,34.8835311,128.419018,055-640-9212,2024-09-01
nfa-0907,경남,하동소방서,경남 하동군 금성면 금성로 15,34.9779414,127.7955629,055-880-9212,2024-09-01
nfa-0903,경남,함안소방서,경남 함안군 가야읍 선왕길 59,35.2862569,128.4000954,055-580-9212,2024-09-01
nfa-0805,경남,함양소방서,경남 함양군 함양읍 함양로 1179,35.524146,127.728197,055-960-9212,2024-09-01
nfa-0943,경남,합천소방서,경남 합천군 합천읍 인덕로 2453,35.5728813,128.1484886,055-930-9212,2024-09-01
nfa-0788,제주,동부소방서,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,33.4605596,126.9100733,064-780-9133,2024-09-01
nfa-0897,제주,서귀포소방서,제주특별자치도 서귀포시 동홍로 31(동홍동),33.2511564,126.5670718,064-730-7133,2024-09-01
nfa-0948,제주,서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150,33.4024577,126.2703256,064-795-0134,2024-09-01
nfa-0918,제주,제주소방서,제주특별자치도 제주시 중앙로 342(이도이동),33.4907562,126.5366281,064-729-0134,2024-09-01
